Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Cultures et produits animaux","Afghanistan","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","51459"
"Cultures et produits animaux","Afghanistan","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","44236"
"Cultures et produits animaux","Afghanistan","Importations - Quantité","Poulets","2017","1000 têtes","18970"
"Cultures et produits animaux","Afghanistan","Importations - Valeur","Poulets","2017","1000 US$","26227"
"Cultures et produits animaux","Afghanistan","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","28937"
"Cultures et produits animaux","Afghanistan","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","28934"
"Cultures et produits animaux","Afrique du Sud","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","0.71"
"Cultures et produits animaux","Afrique du Sud","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","0"
"Cultures et produits animaux","Afrique du Sud","Importations - Quantité","Poulets","2017","1000 têtes","397"
"Cultures et produits animaux","Afrique du Sud","Importations - Valeur","Poulets","2017","1000 US$","7394"
"Cultures et produits animaux","Afrique du Sud","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","480345.55"
"Cultures et produits animaux","Afrique du Sud","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","410502"
"Cultures et produits animaux","Albanie","Importations - Quantité","Poulets","2017","1000 têtes","4572"
"Cultures et produits animaux","Albanie","Importations - Valeur","Poulets","2017","1000 US$","3266"
"Cultures et produits animaux","Albanie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","17515.47"
"Cultures et produits animaux","Albanie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","16481"
"Cultures et produits animaux","Algérie","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","46.66"
"Cultures et produits animaux","Algérie","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","625"
"Cultures et produits animaux","Algérie","Importations - Quantité","Poulets","2017","1000 têtes","195"
"Cultures et produits animaux","Algérie","Importations - Valeur","Poulets","2017","1000 US$","19051"
"Cultures et produits animaux","Algérie","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","0.4"
"Cultures et produits animaux","Algérie","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","2"
"Cultures et produits animaux","Allemagne","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","412711.7"
"Cultures et produits animaux","Allemagne","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","664626"
"Cultures et produits animaux","Allemagne","Importations - Quantité","Poulets","2017","1000 têtes","185661"
"Cultures et produits animaux","Allemagne","Importations - Valeur","Poulets","2017","1000 US$","193759"
"Cultures et produits animaux","Allemagne","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","474950.63"
"Cultures et produits animaux","Allemagne","Importations - Valeur","Viande, poulet, fraîche ou réfrigérée","2017","1000 US$","1101592"
"Cultures et produits animaux","Angola","Importations - Quantité","Œufs de poule en coquille frais","2017","tonnes","347"
"Cultures et produits animaux","Angola","Importations - Valeur","Œufs de poule en coquille frais","2017","1000 US$","492"
"Cultures et produits animaux","Angola","Importations - Quantité","Poulets","2017","1000 têtes","1649"
"Cultures et produits animaux","Angola","Importations - Valeur","Poulets","2017","1000 US$","1814"
"Cultures et produits animaux","Angola","Importations - Quantité","Viande, poulet, fraîche ou réfrigérée","2017","tonnes","265888.3"
